No errors
Max results hit (1000): not all possible results returned; 
408 ms
data source=metars
1000 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
KTMK 021630Z AUTO 24011G19KT 2SM RA OVC009 06/05 A3005 RMK AO2 P0009,KTMK,2023-03-02T16:30:00Z,45.42,-123.82,6.0,5.0,240,11,19,2.0,30.050198,,,TRUE,TRUE,,,,,,RA,OVC,900,,,,,,,IFR,,,,,,0.09,,,,,,METAR,8.0
KTMK 021610Z AUTO 19007KT 3SM -RA OVC015 06/05 A3004 RMK AO2 P0002,KTMK,2023-03-02T16:10:00Z,45.42,-123.82,6.0,5.0,190,7,,3.0,30.041338,,,TRUE,TRUE,,,,,,-RA,OVC,1500,,,,,,,MVFR,,,,,,0.02,,,,,,SPECI,8.0
KTMK 021550Z AUTO 17008G14KT 3SM RA OVC015 05/04 A3002 RMK AO2 P0005,KTMK,2023-03-02T15:50:00Z,45.42,-123.82,5.0,4.0,170,8,14,3.0,30.02067,,,TRUE,TRUE,,,,,,RA,OVC,1500,,,,,,,MVFR,,,,,,0.05,,,,,,SPECI,8.0
KTMK 021530Z AUTO 18007KT 3SM -RA OVC017 05/04 A3002 RMK AO2 P0003,KTMK,2023-03-02T15:30:00Z,45.42,-123.82,5.0,4.0,180,7,,3.0,30.02067,,,TRUE,TRUE,,,,,,-RA,OVC,1700,,,,,,,MVFR,,,,,,0.03,,,,,,METAR,8.0
KTMK 021510Z AUTO 16009KT 5SM -RA SCT014 OVC020 05/03 A3002 RMK AO2 P0001,KTMK,2023-03-02T15:10:00Z,45.42,-123.82,5.0,3.0,160,9,,5.0,30.02067,,,TRUE,TRUE,,,,,,-RA,SCT,1400,OVC,2000,,,,,MVFR,,,,,,0.01,,,,,,SPECI,8.0
KTMK 021450Z AUTO 18003KT 4SM -RA BKN014 OVC019 05/03 A3003 RMK AO2 P0005,KTMK,2023-03-02T14:50:00Z,45.42,-123.82,5.0,3.0,180,3,,4.0,30.029528,,,TRUE,TRUE,,,,,,-RA,BKN,1400,OVC,1900,,,,,MVFR,,,,,,0.05,,,,,,SPECI,8.0
KTMK 021430Z AUTO 14008G16KT 3SM -RA OVC019 05/03 A3004 RMK AO2 P0002,KTMK,2023-03-02T14:30:00Z,45.42,-123.82,5.0,3.0,140,8,16,3.0,30.041338,,,TRUE,TRUE,,,,,,-RA,OVC,1900,,,,,,,MVFR,,,,,,0.02,,,,,,SPECI,8.0
KTMK 021410Z AUTO 14009KT 5SM -RA OVC018 05/03 A3005 RMK AO2 P0001,KTMK,2023-03-02T14:10:00Z,45.42,-123.82,5.0,3.0,140,9,,5.0,30.050198,,,TRUE,TRUE,,,,,,-RA,OVC,1800,,,,,,,MVFR,,,,,,0.01,,,,,,SPECI,8.0
KTMK 021350Z AUTO 14005KT 4SM -RA OVC018 05/03 A3006 RMK AO2 P0003,KTMK,2023-03-02T13:50:00Z,45.42,-123.82,5.0,3.0,140,5,,4.0,30.059055,,,TRUE,TRUE,,,,,,-RA,OVC,1800,,,,,,,MVFR,,,,,,0.03,,,,,,SPECI,8.0
KTMK 021330Z AUTO 15007KT 4SM DZ OVC018 05/03 A3007 RMK AO2 P0002,KTMK,2023-03-02T13:30:00Z,45.42,-123.82,5.0,3.0,150,7,,4.0,30.070866,,,TRUE,TRUE,,,,,,DZ,OVC,1800,,,,,,,MVFR,,,,,,0.02,,,,,,METAR,8.0
KTMK 021310Z AUTO 15009KT 4SM -RA OVC018 05/03 A3007 RMK AO2 P0001,KTMK,2023-03-02T13:10:00Z,45.42,-123.82,5.0,3.0,150,9,,4.0,30.070866,,,TRUE,TRUE,,,,,,-RA,OVC,1800,,,,,,,MVFR,,,,,,0.01,,,,,,SPECI,8.0
KTMK 021250Z AUTO 16007KT 5SM DZ OVC020 05/03 A3008 RMK AO2 P0001,KTMK,2023-03-02T12:50:00Z,45.42,-123.82,5.0,3.0,160,7,,5.0,30.079725,,,TRUE,TRUE,,,,,,DZ,OVC,2000,,,,,,,MVFR,,,,,,0.01,,,,,,SPECI,8.0
