No errors
Max results hit (1000): not all possible results returned; 
482 ms
data source=metars
1000 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
K6S2 021655Z AUTO VRB04G11KT 2SM -RA BR BKN014 05/05 A3012 RMK AO2 P0001,K6S2,2023-03-02T16:55:00Z,43.98,-124.12,5.0,5.0,0,4,11,2.0,30.121063,,,TRUE,TRUE,,,,,,-RA BR,BKN,1400,,,,,,,IFR,,,,,,0.01,,,,,,METAR,16.0
K6S2 021635Z AUTO 18009KT 130V200 3SM UP BR OVC016 05/05 A3013 RMK AO2,K6S2,2023-03-02T16:35:00Z,43.98,-124.12,5.0,5.0,180,9,,3.0,30.129921,,,TRUE,TRUE,,,,,,BR UP,OVC,1600,,,,,,,MVFR,,,,,,,,,,,,SPECI,16.0
K6S2 021615Z AUTO VRB06G11KT 3SM -RA BR OVC017 05/05 A3013 RMK AO2,K6S2,2023-03-02T16:15:00Z,43.98,-124.12,5.0,5.0,0,6,11,3.0,30.129921,,,TRUE,TRUE,,,,,,-RA BR,OVC,1700,,,,,,,MVFR,,,,,,,,,,,,METAR,16.0
K6S2 021555Z AUTO VRB05KT 3SM UP BR OVC018 05/05 A3013 RMK AO2,K6S2,2023-03-02T15:55:00Z,43.98,-124.12,5.0,5.0,0,5,,3.0,30.129921,,,TRUE,TRUE,,,,,,BR UP,OVC,1800,,,,,,,MVFR,,,,,,,,,,,,METAR,16.0
K6S2 021535Z AUTO VRB05KT 6SM UP BR OVC018 05/05 A3013 RMK AO2,K6S2,2023-03-02T15:35:00Z,43.98,-124.12,5.0,5.0,0,5,,6.0,30.129921,,,TRUE,TRUE,,,,,,BR UP,OVC,1800,,,,,,,MVFR,,,,,,,,,,,,METAR,16.0
K6S2 021515Z AUTO 15004G10KT 3SM -RA BR OVC018 05/05 A3013 RMK AO2,K6S2,2023-03-02T15:15:00Z,43.98,-124.12,5.0,5.0,150,4,10,3.0,30.129921,,,TRUE,TRUE,,,,,,-RA BR,OVC,1800,,,,,,,MVFR,,,,,,,,,,,,SPECI,16.0
K6S2 021455Z AUTO VRB04G12KT 3SM -RA BR OVC020 05/04 A3012 RMK AO2,K6S2,2023-03-02T14:55:00Z,43.98,-124.12,5.0,4.0,0,4,12,3.0,30.121063,,,TRUE,TRUE,,,,,,-RA BR,OVC,2000,,,,,,,MVFR,,,,,,,,,,,,METAR,16.0
K6S2 021435Z AUTO VRB05G13KT 9SM -RA OVC022 05/04 A3013 RMK AO2,K6S2,2023-03-02T14:35:00Z,43.98,-124.12,5.0,4.0,0,5,13,9.0,30.129921,,,TRUE,TRUE,,,,,,-RA,OVC,2200,,,,,,,MVFR,,,,,,,,,,,,METAR,16.0
K6S2 021415Z AUTO VRB06G12KT 10SM OVC023 06/04 A3013 RMK AO2,K6S2,2023-03-02T14:15:00Z,43.98,-124.12,6.0,4.0,0,6,12,10.0,30.129921,,,TRUE,TRUE,,,,,,,OVC,2300,,,,,,,MVFR,,,,,,,,,,,,SPECI,16.0
K6S2 021355Z AUTO 17006G12KT 10SM BKN027 OVC037 05/03 A3014 RMK AO2,K6S2,2023-03-02T13:55:00Z,43.98,-124.12,5.0,3.0,170,6,12,10.0,30.138779,,,TRUE,TRUE,,,,,,,BKN,2700,OVC,3700,,,,,MVFR,,,,,,,,,,,,METAR,16.0
K6S2 021335Z AUTO 16006KT 10SM -RA BKN030 OVC038 06/03 A3015 RMK AO2,K6S2,2023-03-02T13:35:00Z,43.98,-124.12,6.0,3.0,160,6,,10.0,30.15059,,,TRUE,TRUE,,,,,,-RA,BKN,3000,OVC,3800,,,,,MVFR,,,,,,,,,,,,METAR,16.0
K6S2 021315Z AUTO 15006KT 10SM -RA BKN032 BKN041 OVC046 05/03 A3016 RMK AO2,K6S2,2023-03-02T13:15:00Z,43.98,-124.12,5.0,3.0,150,6,,10.0,30.159449,,,TRUE,TRUE,,,,,,-RA,BKN,3200,BKN,4100,OVC,4600,,,VFR,,,,,,,,,,,,METAR,16.0
K6S2 021255Z AUTO VRB06G11KT 10SM -RA BKN034 BKN047 OVC055 06/03 A3016 RMK AO2,K6S2,2023-03-02T12:55:00Z,43.98,-124.12,6.0,3.0,0,6,11,10.0,30.159449,,,TRUE,TRUE,,,,,,-RA,BKN,3400,BKN,4700,OVC,5500,,,VFR,,,,,,,,,,,,METAR,16.0
K6S2 021235Z AUTO 15004G10KT 10SM FEW037 OVC050 06/02 A3016 RMK AO2,K6S2,2023-03-02T12:35:00Z,43.98,-124.12,6.0,2.0,150,4,10,10.0,30.159449,,,TRUE,TRUE,,,,,,,FEW,3700,OVC,5000,,,,,VFR,,,,,,,,,,,,METAR,16.0
K6S2 021215Z AUTO VRB06KT 10SM FEW036 OVC050 05/02 A3016 RMK AO2,K6S2,2023-03-02T12:15:00Z,43.98,-124.12,5.0,2.0,0,6,,10.0,30.159449,,,TRUE,TRUE,,,,,,,FEW,3600,OVC,5000,,,,,VFR,,,,,,,,,,,,METAR,16.0
K6S2 021155Z AUTO VRB05KT 10SM BKN034 OVC050 05/02 A3018 RMK AO2,K6S2,2023-03-02T11:55:00Z,43.98,-124.12,5.0,2.0,0,5,,10.0,30.180119,,,TRUE,TRUE,,,,,,,BKN,3400,OVC,5000,,,,,VFR,,,,,,,,,,,,METAR,16.0
K6S2 021135Z AUTO 16004KT 10SM BKN033 OVC041 05/02 A3018 RMK AO2,K6S2,2023-03-02T11:35:00Z,43.98,-124.12,5.0,2.0,160,4,,10.0,30.180119,,,TRUE,TRUE,,,,,,,BKN,3300,OVC,4100,,,,,VFR,,,,,,,,,,,,SPECI,16.0
K6S2 021115Z AUTO 17005KT 10SM OVC036 05/02 A3019 RMK AO2,K6S2,2023-03-02T11:15:00Z,43.98,-124.12,5.0,2.0,170,5,,10.0,30.188976,,,TRUE,TRUE,,,,,,,OVC,3600,,,,,,,VFR,,,,,,,,,,,,METAR,16.0
K6S2 021055Z AUTO VRB05KT 10SM BKN034 BKN040 OVC046 05/03 A3018 RMK AO2,K6S2,2023-03-02T10:55:00Z,43.98,-124.12,5.0,3.0,0,5,,10.0,30.180119,,,TRUE,TRUE,,,,,,,BKN,3400,BKN,4000,OVC,4600,,,VFR,,,,,,,,,,,,METAR,16.0
K6S2 021035Z AUTO VRB04KT 10SM FEW029 BKN036 OVC048 05/03 A3019 RMK AO2,K6S2,2023-03-02T10:35:00Z,43.98,-124.12,5.0,3.0,0,4,,10.0,30.188976,,,TRUE,TRUE,,,,,,,FEW,2900,BKN,3600,OVC,4800,,,VFR,,,,,,,,,,,,METAR,16.0
K6S2 021015Z AUTO 00000KT 10SM FEW028 FEW035 OVC050 04/04 A3020 RMK AO2,K6S2,2023-03-02T10:15:00Z,43.98,-124.12,4.0,4.0,0,0,,10.0,30.200787,,,TRUE,TRUE,,,,,,,FEW,2800,FEW,3500,OVC,5000,,,VFR,,,,,,,,,,,,METAR,16.0
K6S2 020955Z AUTO 00000KT 10SM OVC055 04/04 A3020 RMK AO2,K6S2,2023-03-02T09:55:00Z,43.98,-124.12,4.0,4.0,0,0,,10.0,30.200787,,,TRUE,TRUE,,,,,,,OVC,5500,,,,,,,VFR,,,,,,,,,,,,METAR,16.0
K6S2 020935Z AUTO 00000KT 10SM OVC055 04/04 A3020 RMK AO2,K6S2,2023-03-02T09:35:00Z,43.98,-124.12,4.0,4.0,0,0,,10.0,30.200787,,,TRUE,TRUE,,,,,,,OVC,5500,,,,,,,VFR,,,,,,,,,,,,METAR,16.0
K6S2 020915Z AUTO 00000KT 10SM OVC055 04/04 A3020 RMK AO2,K6S2,2023-03-02T09:15:00Z,43.98,-124.12,4.0,4.0,0,0,,10.0,30.200787,,,TRUE,TRUE,,,,,,,OVC,5500,,,,,,,VFR,,,,,,,,,,,,SPECI,16.0
K6S2 020855Z AUTO 00000KT 10SM OVC055 04/03 A3019 RMK AO2,K6S2,2023-03-02T08:55:00Z,43.98,-124.12,4.0,3.0,0,0,,10.0,30.188976,,,TRUE,TRUE,,,,,,,OVC,5500,,,,,,,VFR,,,,,,,,,,,,METAR,16.0
K6S2 020835Z AUTO 00000KT 10SM OVC050 04/04 A3020 RMK AO2,K6S2,2023-03-02T08:35:00Z,43.98,-124.12,4.0,4.0,0,0,,10.0,30.200787,,,TRUE,TRUE,,,,,,,OVC,5000,,,,,,,VFR,,,,,,,,,,,,METAR,16.0
K6S2 020815Z AUTO 00000KT 10SM OVC055 04/04 A3020 RMK AO2,K6S2,2023-03-02T08:15:00Z,43.98,-124.12,4.0,4.0,0,0,,10.0,30.200787,,,TRUE,TRUE,,,,,,,OVC,5500,,,,,,,VFR,,,,,,,,,,,,METAR,16.0
K6S2 020755Z AUTO 00000KT 10SM BKN060 OVC070 03/03 A3020 RMK AO2,K6S2,2023-03-02T07:55:00Z,43.98,-124.12,3.0,3.0,0,0,,10.0,30.200787,,,TRUE,TRUE,,,,,,,BKN,6000,OVC,7000,,,,,VFR,,,,,,,,,,,,METAR,16.0
K6S2 020735Z AUTO 00000KT 10SM OVC065 03/03 A3020 RMK AO2,K6S2,2023-03-02T07:35:00Z,43.98,-124.12,3.0,3.0,0,0,,10.0,30.200787,,,TRUE,TRUE,,,,,,,OVC,6500,,,,,,,VFR,,,,,,,,,,,,METAR,16.0
K6S2 020715Z AUTO 00000KT 10SM OVC070 02/02 A3021 RMK AO2,K6S2,2023-03-02T07:15:00Z,43.98,-124.12,2.0,2.0,0,0,,10.0,30.209646,,,TRUE,TRUE,,,,,,,OVC,7000,,,,,,,VFR,,,,,,,,,,,,SPECI,16.0
K6S2 020635Z AUTO 00000KT 10SM OVC065 02/02 A3022 RMK AO2,K6S2,2023-03-02T06:35:00Z,43.98,-124.12,2.0,2.0,0,0,,10.0,30.221457,,,TRUE,TRUE,,,,,,,OVC,6500,,,,,,,VFR,,,,,,,,,,,,SPECI,16.0
K6S2 020615Z AUTO 00000KT 10SM OVC060 02/02 A3023 RMK AO2,K6S2,2023-03-02T06:15:00Z,43.98,-124.12,2.0,2.0,0,0,,10.0,30.230314,,,TRUE,TRUE,,,,,,,OVC,6000,,,,,,,VFR,,,,,,,,,,,,METAR,16.0
K6S2 020555Z AUTO 00000KT 10SM OVC060 02/02 A3023 RMK AO2,K6S2,2023-03-02T05:55:00Z,43.98,-124.12,2.0,2.0,0,0,,10.0,30.230314,,,TRUE,TRUE,,,,,,,OVC,6000,,,,,,,VFR,,,,,,,,,,,,METAR,16.0
K6S2 020535Z AUTO 00000KT 10SM BKN065 02/02 A3023 RMK AO2,K6S2,2023-03-02T05:35:00Z,43.98,-124.12,2.0,2.0,0,0,,10.0,30.230314,,,TRUE,TRUE,,,,,,,BKN,6500,,,,,,,VFR,,,,,,,,,,,,METAR,16.0
K6S2 020515Z AUTO 00000KT 10SM SCT070 02/02 A3022 RMK AO2,K6S2,2023-03-02T05:15:00Z,43.98,-124.12,2.0,2.0,0,0,,10.0,30.221457,,,TRUE,TRUE,,,,,,,SCT,7000,,,,,,,VFR,,,,,,,,,,,,SPECI,16.0
K6S2 020455Z AUTO 00000KT 10SM BKN070 02/02 A3021 RMK AO2,K6S2,2023-03-02T04:55:00Z,43.98,-124.12,2.0,2.0,0,0,,10.0,30.209646,,,TRUE,TRUE,,,,,,,BKN,7000,,,,,,,VFR,,,,,,,,,,,,SPECI,16.0
K6S2 020435Z AUTO 00000KT 10SM CLR 02/02 A3021 RMK AO2,K6S2,2023-03-02T04:35:00Z,43.98,-124.12,2.0,2.0,0,0,,10.0,30.209646,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,16.0
K6S2 020415Z AUTO 00000KT 10SM FEW075 03/03 A3021 RMK AO2,K6S2,2023-03-02T04:15:00Z,43.98,-124.12,3.0,3.0,0,0,,10.0,30.209646,,,TRUE,TRUE,,,,,,,FEW,7500,,,,,,,VFR,,,,,,,,,,,,SPECI,16.0
K6S2 020355Z AUTO 00000KT 10SM SCT075 03/03 A3021 RMK AO2,K6S2,2023-03-02T03:55:00Z,43.98,-124.12,3.0,3.0,0,0,,10.0,30.209646,,,TRUE,TRUE,,,,,,,SCT,7500,,,,,,,VFR,,,,,,,,,,,,METAR,16.0
K6S2 020335Z AUTO 00000KT 10SM SCT075 SCT085 03/03 A3022 RMK AO2,K6S2,2023-03-02T03:35:00Z,43.98,-124.12,3.0,3.0,0,0,,10.0,30.221457,,,TRUE,TRUE,,,,,,,SCT,7500,SCT,8500,,,,,VFR,,,,,,,,,,,,METAR,16.0
K6S2 020315Z AUTO 00000KT 10SM FEW004 03/03 A3022 RMK AO2,K6S2,2023-03-02T03:15:00Z,43.98,-124.12,3.0,3.0,0,0,,10.0,30.221457,,,TRUE,TRUE,,,,,,,FEW,400,,,,,,,VFR,,,,,,,,,,,,SPECI,16.0
K6S2 020255Z AUTO 00000KT 10SM FEW003 04/04 A3022 RMK AO2,K6S2,2023-03-02T02:55:00Z,43.98,-124.12,4.0,4.0,0,0,,10.0,30.221457,,,TRUE,TRUE,,,,,,,FEW,300,,,,,,,VFR,,,,,,,,,,,,METAR,16.0
K6S2 020235Z AUTO 00000KT 10SM CLR 04/03 A3022 RMK AO2,K6S2,2023-03-02T02:35:00Z,43.98,-124.12,4.0,3.0,0,0,,10.0,30.221457,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,16.0
K6S2 020215Z AUTO 00000KT 10SM CLR 05/03 A3022 RMK AO2,K6S2,2023-03-02T02:15:00Z,43.98,-124.12,5.0,3.0,0,0,,10.0,30.221457,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,16.0
