No errors
Max results hit (1000): not all possible results returned; 
38 ms
data source=metars
1000 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
K4S1 311615Z AUTO 17010G19KT 7SM RA SCT038 08/05 A3010 RMK AO2,K4S1,2023-03-31T16:15:00Z,42.42,-124.42,8.0,5.0,170,10,19,7.0,30.100393,,,TRUE,TRUE,,,,,,RA,SCT,3800,,,,,,,VFR,,,,,,,,,,,,METAR,7.0
K4S1 311555Z AUTO 17013G23KT 7SM CLR 07/05 A3011 RMK AO2,K4S1,2023-03-31T15:55:00Z,42.42,-124.42,7.0,5.0,170,13,23,7.0,30.109253,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,7.0
K4S1 311535Z AUTO 17014G23KT 7SM CLR 07/05 A3010 RMK AO2,K4S1,2023-03-31T15:35:00Z,42.42,-124.42,7.0,5.0,170,14,23,7.0,30.100393,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,7.0
K4S1 311515Z AUTO 17015G19KT 5SM BR CLR 07/05 A3010 RMK AO2,K4S1,2023-03-31T15:15:00Z,42.42,-124.42,7.0,5.0,170,15,19,5.0,30.100393,,,TRUE,TRUE,,,,,,BR,CLR,,,,,,,,MVFR,,,,,,,,,,,,METAR,7.0
K4S1 311455Z AUTO 17012G18KT 7SM CLR 07/05 A3010 RMK AO2,K4S1,2023-03-31T14:55:00Z,42.42,-124.42,7.0,5.0,170,12,18,7.0,30.100393,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,7.0
K4S1 311435Z AUTO 18012G18KT 5SM BR CLR 07/05 A3009 RMK AO2,K4S1,2023-03-31T14:35:00Z,42.42,-124.42,7.0,5.0,180,12,18,5.0,30.088583,,,TRUE,TRUE,,,,,,BR,CLR,,,,,,,,MVFR,,,,,,,,,,,,METAR,7.0
K4S1 311415Z AUTO 17015G21KT 7SM -RA CLR 07/05 A3009 RMK AO2,K4S1,2023-03-31T14:15:00Z,42.42,-124.42,7.0,5.0,170,15,21,7.0,30.088583,,,TRUE,TRUE,,,,,,-RA,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,7.0
K4S1 311355Z AUTO 17010G19KT 10SM -RA SCT020 SCT027 BKN033 06/04 A3009 RMK AO2 P0001,K4S1,2023-03-31T13:55:00Z,42.42,-124.42,6.0,4.0,170,10,19,10.0,30.088583,,,TRUE,TRUE,,,,,,-RA,SCT,2000,SCT,2700,BKN,3300,,,VFR,,,,,,0.01,,,,,,METAR,7.0
K4S1 311335Z AUTO 18012KT 10SM RA SCT023 SCT031 SCT042 07/04 A3008 RMK AO2,K4S1,2023-03-31T13:35:00Z,42.42,-124.42,7.0,4.0,180,12,,10.0,30.079725,,,TRUE,TRUE,,,,,,RA,SCT,2300,SCT,3100,SCT,4200,,,VFR,,,,,,,,,,,,METAR,7.0
K4S1 311315Z AUTO 17011G16KT 5SM HZ SCT023 SCT031 SCT038 07/04 A3008 RMK AO2,K4S1,2023-03-31T13:15:00Z,42.42,-124.42,7.0,4.0,170,11,16,5.0,30.079725,,,TRUE,TRUE,,,,,,HZ,SCT,2300,SCT,3100,SCT,3800,,,MVFR,,,,,,,,,,,,METAR,7.0
