No errors
Max results hit (1000): not all possible results returned; 
38 ms
data source=metars
1000 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
K6S2 311615Z AUTO VRB06G11KT 2SM -RA BR FEW011 BKN018 BKN023 07/07 A3006 RMK AO2 VIS 1V5,K6S2,2023-03-31T16:15:00Z,43.98,-124.12,7.0,7.0,0,6,11,2.0,30.059055,,,TRUE,TRUE,,,,,,-RA BR,FEW,1100,BKN,1800,BKN,2300,,,IFR,,,,,,,,,,,,SPECI,16.0
K6S2 311555Z AUTO 16007KT 130V190 10SM UP BKN020 BKN025 OVC031 07/07 A3006 RMK AO2 P0003,K6S2,2023-03-31T15:55:00Z,43.98,-124.12,7.0,7.0,160,7,,10.0,30.059055,,,TRUE,TRUE,,,,,,UP,BKN,2000,BKN,2500,OVC,3100,,,MVFR,,,,,,0.03,,,,,,METAR,16.0
K6S2 311535Z AUTO VRB06KT 3SM RA BR BKN019 BKN024 OVC050 06/06 A3006 RMK AO2,K6S2,2023-03-31T15:35:00Z,43.98,-124.12,6.0,6.0,0,6,,3.0,30.059055,,,TRUE,TRUE,,,,,,RA BR,BKN,1900,BKN,2400,OVC,5000,,,MVFR,,,,,,,,,,,,SPECI,16.0
K6S2 311515Z AUTO VRB05G11KT 4SM -RA BR BKN021 BKN026 OVC050 07/07 A3005 RMK AO2,K6S2,2023-03-31T15:15:00Z,43.98,-124.12,7.0,7.0,0,5,11,4.0,30.050198,,,TRUE,TRUE,,,,,,-RA BR,BKN,2100,BKN,2600,OVC,5000,,,MVFR,,,,,,,,,,,,SPECI,16.0
K6S2 311455Z AUTO 18006KT 3SM -RA BR FEW014 BKN022 OVC032 06/06 A3005 RMK AO2 P0001,K6S2,2023-03-31T14:55:00Z,43.98,-124.12,6.0,6.0,180,6,,3.0,30.050198,,,TRUE,TRUE,,,,,,-RA BR,FEW,1400,BKN,2200,OVC,3200,,,MVFR,,,,,,0.01,,,,,,METAR,16.0
K6S2 311435Z AUTO VRB05KT 5SM -RA BR FEW015 SCT025 BKN033 06/06 A3005 RMK AO2,K6S2,2023-03-31T14:35:00Z,43.98,-124.12,6.0,6.0,0,5,,5.0,30.050198,,,TRUE,TRUE,,,,,,-RA BR,FEW,1500,SCT,2500,BKN,3300,,,MVFR,,,,,,,,,,,,SPECI,16.0
K6S2 311415Z AUTO 16006KT 10SM FEW017 SCT023 BKN033 06/06 A3005 RMK AO2,K6S2,2023-03-31T14:15:00Z,43.98,-124.12,6.0,6.0,160,6,,10.0,30.050198,,,TRUE,TRUE,,,,,,,FEW,1700,SCT,2300,BKN,3300,,,VFR,,,,,,,,,,,,SPECI,16.0
K6S2 311355Z AUTO 17007G12KT 130V220 6SM -RA BR SCT015 BKN024 OVC030 06/06 A3004 RMK AO2 P0003,K6S2,2023-03-31T13:55:00Z,43.98,-124.12,6.0,6.0,170,7,12,6.0,30.041338,,,TRUE,TRUE,,,,,,-RA BR,SCT,1500,BKN,2400,OVC,3000,,,MVFR,,,,,,0.03,,,,,,METAR,16.0
K6S2 311335Z AUTO VRB06G11KT 7SM -RA BKN024 OVC029 06/06 A3004 RMK AO2,K6S2,2023-03-31T13:35:00Z,43.98,-124.12,6.0,6.0,0,6,11,7.0,30.041338,,,TRUE,TRUE,,,,,,-RA,BKN,2400,OVC,2900,,,,,MVFR,,,,,,,,,,,,METAR,16.0
K6S2 311315Z AUTO 15005KT 4SM -RA BR FEW021 BKN028 OVC034 06/06 A3003 RMK AO2,K6S2,2023-03-31T13:15:00Z,43.98,-124.12,6.0,6.0,150,5,,4.0,30.029528,,,TRUE,TRUE,,,,,,-RA BR,FEW,2100,BKN,2800,OVC,3400,,,MVFR,,,,,,,,,,,,METAR,16.0
K6S2 311255Z AUTO VRB06G11KT 6SM -RA BR FEW021 BKN027 OVC034 06/06 A3003 RMK AO2,K6S2,2023-03-31T12:55:00Z,43.98,-124.12,6.0,6.0,0,6,11,6.0,30.029528,,,TRUE,TRUE,,,,,,-RA BR,FEW,2100,BKN,2700,OVC,3400,,,MVFR,,,,,,,,,,,,METAR,16.0
